================ Wed Jul 24 11:56:49 EDT 2013 =========================
tgtd: [11:56:49.494273] work_timer_start(146) use timer_fd based scheduler
tgtd: [11:56:49.494661] bs_init(313) use signalfd notification
tgtd: [11:57:45.201252] caught signal 15, exiting
tgtd: [12:03:31.206998] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:03:33.961228] conn_init(68) connection open, 0x231eb28
tgtd: [12:03:34.211696] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:03:36.965992] conn_init(68) connection open, 0x231eb28
tgtd: [12:03:37.216467] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:03:39.970684] conn_init(68) connection open, 0x231eb28
tgtd: [12:03:40.221120] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:03:42.975385] conn_init(68) connection open, 0x231eb28
tgtd: [12:03:43.225917] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:03:45.980064] conn_init(68) connection open, 0x231eb28
tgtd: [12:03:46.230510] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:03:48.984793] conn_init(68) connection open, 0x231eb28
tgtd: [12:03:49.235254] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:03:51.989504] conn_init(68) connection open, 0x231eb28
tgtd: [12:03:52.240084] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:03:54.994287] conn_init(68) connection open, 0x231eb28
tgtd: [12:03:55.244754] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:03:57.998875] conn_init(68) connection open, 0x231eb28
tgtd: [12:03:58.249402] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:01.003533] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:01.254081] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:04.008231] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:04.259140] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:07.013318] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:07.263754] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:10.017857] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:10.268317] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:13.022390] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:13.272923] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:16.026924] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:16.277425] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:19.031558] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:19.282058] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:22.036160] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:22.286681] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:25.040795] conn_init(68) connection open, 0x231eb28
tgtd: [12:04:25.291262] conn_close(104) connection closed, 0x231eb28 1
tgtd: [12:04:28.045280] conn_init(68) connection open, 0x231eb28
